28,6,How do you purify your drinking water?,61,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/kitchen_drinking_2_n9isxa.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/kitchen_drinking_2_n9isxa.mp4,main/kitchen_drinking_2.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/kitchen_drinking_2_n9isxa.webm,,,,CH,0
29,6,Do you use the backwashed water from RO system?,65,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849761/kitchen_drinking_ro_3_yb79yc.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen_drinking_ro_3_yb79yc.mp4,main/kitchen_drinking_ro_3.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen_drinking_ro_3_yb79yc.webm,,,,CH,1
30,7,Do you have a car?,70,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/car_bhd819.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_bhd819.mp4,main/car.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_bhd819.webm,,,,CH,0
31,7,How do you wash your car?,71,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/car_wash_w1wje1.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_wash_w1wje1.mp4,main/car_wash.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_wash_w1wje1.webm,,,,CH,1
32,7,How many times per month do you wash your car?,72,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/car_wash_w1wje1.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_wash_w1wje1.mp4,main/car_wash.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/car_wash_w1wje1.webm,,,,RA-T,1
33,7,Do you have a motorbike/cycle?,73,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849759/bike_kqhxyq.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849759/bike_kqhxyq.mp4,main/bike.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849759/bike_kqhxyq.webm,,,,CH,0
34,7,How do you wash your bike/cycle?,74,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849758/bike_wash_wlegkx.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/bike_wash_wlegkx.mp4,main/bike_wash.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/bike_wash_wlegkx.webm,,,,CH,1
35,7,How many times per month do you wash your bike?,75,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849758/bike_wash_wlegkx.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/bike_wash_wlegkx.mp4,main/bike_wash.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/bike_wash_wlegkx.webm,,,,RA-T,1
36,8,Do you have a lawn or a balcony garden?,80,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/garden_ohpmch.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/garden_ohpmch.mp4,main/garden.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/garden_ohpmch.webm,,,,CH,0
37,8,What is the area of the garden?,81,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/garden_ohpmch.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/garden_ohpmch.mp4,main/garden.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/garden_ohpmch.webm,,,,RA-Area,1
38,8,How much water do you use to water your garden?,82,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563851589/balcony_garden_phone_gkx976.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563851589/balcony_garden_phone_gkx976.mp4,main/balcony_garden.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563851589/balcony_garden_phone_gkx976.webm,,,,RA-L,1
39,9,Do you have pets at home?,90,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/pets_ut8nch.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/pets_ut8nch.mp4,main/pets.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/pets_ut8nch.webm,,,,CH,0
40,9,How many pets do you have?,91,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/pets_ut8nch.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/pets_ut8nch.mp4,main/pets.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/pets_ut8nch.webm,,,,RA-Pets,1
41,10,Do you have an aquarium at home?,100,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/aquarium_mnp3pd.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.mp4,main/aquarium.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.webm,,,,CH,0
42,10,What is the size of the aquarium?,101,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/aquarium_mnp3pd.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.mp4,main/aquarium.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.webm,,,,CH,1
43,10,How many times do you change its water per year?,102,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/aquarium_mnp3pd.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.mp4,main/aquarium.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/aquarium_mnp3pd.webm,,,,RA-T,1
44,10,Do you have an air cooler at home?,104,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849758/air_cooler_xvzvmc.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_cooler_xvzvmc.mp4,main/air_cooler.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_cooler_xvzvmc.webm,,,,CH,0
45,10,Do you have air conditioner at home?,105,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849758/air_conditioner_ory6rg.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_conditioner_ory6rg.mp4,main/air_conditioner.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_conditioner_ory6rg.webm,,,,CH,0
46,10,Do you recycle the AC drained water?,106,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849758/air_conditioner_ory6rg.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_conditioner_ory6rg.mp4,main/air_conditioner.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849758/air_conditioner_ory6rg.webm,,,,CH,1
47,10,Do you have rain water harvesting system?,109,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/rain_water_harvesting_lgsskn.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/rain_water_harvesting_lgsskn.mp4,main/rain_water_harvesting.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/rain_water_harvesting_lgsskn.webm,,,,CH,0
48,10,Do you recycle water in any other way?,110,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563865493/recycle_water_xnqgxe.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563865493/recycle_water_xnqgxe.mp4,main/recycle_water.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563865493/recycle_water_xnqgxe.webm,https://ik.imagekit.io/jatlbo2dn/video/recycle_water_SNbZ-DeJ7.mp4,,,CH,0
49,10,How much water do you recycle?,111,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563865493/recycle_water_xnqgxe.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563865493/recycle_water_xnqgxe.mp4,main/recycle_water.mp5,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563865493/recycle_water_xnqgxe.webm,https://ik.imagekit.io/jatlbo2dn/video/recycle_water_SNbZ-DeJ7.mp4,,,RA-LB,1
